id,file_path,container_path,encoding,source_offset,source_length,source_hex,japanese,english,status,context,speaker,notes,max_bytes,allow_expand,pointer_group,control_profile,wrap_width
DK4_MES_B44_R0013,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,30989,37,0582A282A282A982E7814182A282A282A982E781428D7382AB82E195AA82A982E982C182C4,,"{HEX:05}Come on, come on. You'll see.{PAD}",draft,"Raphael opening: Claudio leads Raphael away",Claudio Manaus,"Screenshot match; opening line",37,false,ILNK:44:13,mesfile,38
DK4_MES_B44_R0017,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31033,42,0582C682B182EB82C5814146490A82A882DC82A681418A4382CC926A82C182C482C782A48E7682A48148,,"{HEX:05}FI, what do you think{LB}of men of the sea?{PAD}",draft,"Raphael opening: walking to the ship",Claudio Manaus,,42,false,ILNK:44:17,mesfile,38
DK4_MES_B44_R0021,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31082,32,82A4815B82F1814282C782A48E7682A482C182C48CBE82ED82EA82C482E08163,,Well... What do you mean?{PAD},draft,"Raphael opening: walking to the ship",Raphael Castor,,32,false,ILNK:44:21,mesfile,38
DK4_MES_B44_R0025,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31121,71,0589BD8CBE82C182C482F182BE82E6814283478393838A835089A48E7182C90A838C834983938CF6814182AD82A3816082C1814981400A82A982C182B182A282A282E682C882A0,,"{HEX:05}Prince Henry and Duke Leon...{LB}Now those are real men!{PAD}",draft,"Raphael opening: walking to the ship",Claudio Manaus,,71,false,ILNK:44:25,mesfile,38
DK4_MES_B44_R0029,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31199,31,058A4382CD82E282C182CF82E88141926A82CC838D837D839382BE82BA8149,,{HEX:05}The sea is a man's dream!{PAD},draft,"Raphael opening: walking to the ship",Claudio Manaus,,31,false,ILNK:44:29,mesfile,38
DK4_MES_B44_R0034,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31238,16,82DC815B82BD81418E6E82DC82C182BD,,Here he goes...{PAD},draft,"Raphael opening: walking to the ship",Raphael Castor,,16,false,ILNK:44:34,mesfile,38
DK4_MES_B44_R0039,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31264,51,82BE82A282BD82A282CB8141914482E082C882A282CC82C90A82C782A482E282C182C48A4382C98F6F82E982F182BE82A28148,,"But without a ship,{LB}how can we go to sea?{PAD}",draft,"Raphael opening: walking to the ship",Raphael Castor,,51,false,ILNK:44:39,mesfile,38
DK4_MES_B44_R0042,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31321,50,05838D837D839382CC82CB82A682E282C282BE82C882A00A926A82AA96B282F08CEA82C182C482E982C182C482A682CC82C9,,"{HEX:05}No romance in you!{LB}A man is sharing his dream!{PAD}",draft,"Raphael opening: walking to the ship",Claudio Manaus,,50,false,ILNK:44:42,mesfile,38
DK4_MES_B44_R0045,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31379,15,0582C182C68141928582A282BD82BA,,{HEX:05}Here we are.{PAD},draft,"Raphael opening: arrival",Claudio Manaus,,15,false,ILNK:44:45,mesfile,38
DK4_MES_B44_R0053,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31407,19,0482E282A08141978882DC82B582BD82CB8163,,{HEX:04}Ah! You made it.{PAD},draft,"Raphael opening: arrival",Janus,,19,false,ILNK:44:53,mesfile,38
DK4_MES_B44_R0063,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31452,10,0A0A9144816382BE8163,,{LB}{LB}A ship.{PAD},draft,"Raphael opening: ship reveal",Raphael Castor,,10,false,ILNK:44:63,mesfile,38
DK4_MES_B44_R0067,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31469,89,0582C782A482BE82A2814881408BC182A282BD82BE82EB81490A96BC914F82DC82C58C8882DC82C182C482F182BE82BA814282BB82CC96BC82E00A8359836F838A81418177834A838B8365834383898D86817882BE81498149,,"{HEX:05}Well? Surprised?{LB}It even has a name.{LB}Behold, the Carteira!{PAD}",draft,"Raphael opening: ship reveal",Claudio Manaus,,89,false,ILNK:44:67,mesfile,38
DK4_MES_B44_R0071,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31565,60,05834B8389834E835E93AF915282CC9470914482F088F882AB8EE682C182C40A89B482C6835783468369835882C58F43979D82B582BD82F182BE82BA,,"{HEX:05}It was a wreck when we got it.{LB}Janus and I rebuilt her.{PAD}",draft,"Raphael opening: ship reveal",Claudio Manaus,,60,false,ILNK:44:71,mesfile,38
DK4_MES_B44_R0074,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31633,66,0582DC82A081418DA182B782AE82C182C482ED82AF82C982CD82A282A982CB82A60A82AF82C782E6816381428BE082F082BD82DF82C4814182A282C282A982CD82C8,,"{HEX:05}She can't sail just yet...{LB}But once we save enough, someday.{PAD}",draft,"Raphael opening: ship reveal",Claudio Manaus,,66,false,ILNK:44:74,mesfile,38
DK4_MES_B44_R0078,/data/SC0.DK4,/data/SC0.DK4#block=44,shift_jis,31712,10,0A0A8D7382B182A48163,,{LB}{LB}Let's go{PAD},draft,"Raphael opening: decision",Raphael Castor,,10,false,ILNK:44:78,mesfile,38
